Conc1	1E-07	
Start1	690.02	
Stop1	2789.83	
Kobs	0.0013827313005384	
Error Kobs	4.38955840558243E-06	
Koff	0.00297290149362234	
Error Koff	NaN	
Time1	Data1	Fit1	
782.42	0.05153181	0.05066679	
782.62	0.0515549	0.05071877	
782.82	0.05129657	0.05077074	
783.02	0.0507413	0.0508227	
783.22	0.0503022	0.05087464	
783.42	0.05061992	0.05092657	
783.62	0.0507307	0.05097848	
783.82	0.05087063	0.05103038	
784.02	0.05112016	0.05108227	
784.22	0.05153503	0.05113414	
784.42	0.05134341	0.05118599	
784.62	0.05100772	0.05123784	
784.82	0.05120163	0.05128966	
785.02	0.05114356	0.05134148	
785.22	0.05207347	0.05139328	
785.42	0.05258367	0.05144506	
785.62	0.05276469	0.05149683	
785.82	0.05322985	0.05154859	
786.02	0.05373901	0.05160033	
786.22	0.05386753	0.05165206	
786.42	0.05379351	0.05170377	
786.62	0.05339045	0.05175547	
786.82	0.05299868	0.05180715	
787.02	0.05281791	0.05185882	
787.22	0.05256879	0.05191048	
787.42	0.05265278	0.05196212	
787.62	0.0525977	0.05201375	
787.82	0.05261425	0.05206536	
788.02	0.05248447	0.05211696	
788.22	0.05208194	0.05216854	
788.42	0.05127305	0.05222011	
788.62	0.05094064	0.05227167	
788.82	0.05081233	0.05232321	
789.02	0.05147209	0.05237474	
789.22	0.05198341	0.05242625	
789.42	0.05211175	0.05247775	
789.62	0.05214659	0.05252923	
789.82	0.05238387	0.0525807	
790.02	0.05255226	0.05263216	
790.22	0.0527379	0.0526836	
790.42	0.05267297	0.05273503	
790.62	0.05282676	0.05278644	
790.82	0.05296932	0.05283784	
791.02	0.05364573	0.05288923	
791.22	0.05405393	0.0529406	
791.42	0.05395283	0.05299196	
791.62	0.05378793	0.0530433	
791.82	0.05334572	0.05309463	
792.02	0.05310357	0.05314594	
792.22	0.0528758	0.05319724	
792.42	0.05260412	0.05324853	
792.62	0.05262879	0.0532998	
792.82	0.05248	0.05335106	
793.02	0.0528498	0.0534023	
793.22	0.05303026	0.05345353	
793.42	0.05262563	0.05350474	
793.62	0.05294123	0.05355594	
793.82	0.05296962	0.05360713	
794.02	0.05317009	0.0536583	
794.22	0.0533525	0.05370946	
794.42	0.05324664	0.0537606	
794.62	0.0533265	0.05381173	
794.82	0.05375584	0.05386285	
795.02	0.05409967	0.05391395	
795.22	0.05418128	0.05396504	
795.42	0.05402311	0.05401611	
795.62	0.05425973	0.05406717	
795.82	0.05459955	0.05411822	
796.02	0.05474259	0.05416925	
796.22	0.05450472	0.05422026	
796.42	0.05452222	0.05427127	
796.62	0.05426816	0.05432226	
796.82	0.05413078	0.05437323	
797.02	0.05428116	0.05442419	
797.22	0.0545837	0.05447514	
797.42	0.05451285	0.05452607	
797.62	0.0551174	0.05457699	
797.82	0.05514542	0.05462789	
798.02	0.05523852	0.05467878	
798.22	0.05547765	0.05472966	
798.42	0.05562006	0.05478052	
798.62	0.05558258	0.05483137	
798.82	0.05633416	0.0548822	
799.02	0.05633872	0.05493302	
799.22	0.05660751	0.05498383	
799.42	0.05671861	0.05503462	
799.62	0.05656143	0.0550854	
799.82	0.05675775	0.05513616	
800.02	0.05615836	0.05518691	
800.22	0.05570744	0.05523765	
800.42	0.05574666	0.05528837	
800.62	0.05516383	0.05533908	
800.82	0.05501373	0.05538977	
801.02	0.05496752	0.05544045	
801.22	0.05522947	0.05549111	
801.42	0.05521288	0.05554177	
801.62	0.05525637	0.0555924	
801.82	0.05517417	0.05564303	
802.02	0.05507432	0.05569364	
802.22	0.05530676	0.05574423	
802.42	0.05538623	0.05579481	
802.62	0.05539564	0.05584538	
802.82	0.05553217	0.05589593	
803.02	0.0556584	0.05594647	
803.22	0.05589659	0.055997	
803.42	0.05591567	0.05604751	
803.62	0.05565577	0.05609801	
803.82	0.05589584	0.05614849	
804.02	0.05542486	0.05619896	
804.22	0.05539951	0.05624942	
804.42	0.05558774	0.05629986	
804.62	0.05494318	0.05635029	
804.82	0.05518197	0.0564007	
805.02	0.05544532	0.0564511	
805.22	0.05543908	0.05650149	
805.42	0.05540378	0.05655186	
805.62	0.05544008	0.05660222	
805.82	0.05517606	0.05665256	
806.02	0.05536602	0.05670289	
806.22	0.05542745	0.05675321	
806.42	0.05587472	0.05680351	
806.62	0.05634145	0.0568538	
806.82	0.05654783	0.05690407	
807.02	0.05751454	0.05695433	
807.22	0.05749543	0.05700458	
807.42	0.05751277	0.05705481	
807.62	0.05793654	0.05710503	
807.82	0.05799779	0.05715524	
808.02	0.05769514	0.05720543	
808.22	0.05808763	0.05725561	
808.42	0.05824978	0.05730577	
808.62	0.05835099	0.05735592	
808.82	0.05843167	0.05740606	
809.02	0.05824792	0.05745618	
809.22	0.05798062	0.05750629	
809.42	0.05810897	0.05755638	
809.62	0.0579175	0.05760646	
809.82	0.0579777	0.05765653	
810.02	0.05784015	0.05770658	
810.22	0.05757426	0.05775662	
810.42	0.05799715	0.05780664	
810.62	0.05856441	0.05785665	
810.82	0.05864102	0.05790665	
811.02	0.05916889	0.05795664	
811.22	0.05871248	0.0580066	
811.42	0.05868193	0.05805656	
811.62	0.05890956	0.0581065	
811.82	0.05870553	0.05815643	
812.02	0.05898731	0.05820635	
812.22	0.0594312	0.05825625	
812.42	0.05930956	0.05830613	
812.62	0.05921242	0.05835601	
812.82	0.05847982	0.05840587	
813.02	0.0587714	0.05845571	
813.22	0.05932179	0.05850554	
813.42	0.05915393	0.05855536	
813.62	0.05872176	0.05860516	
813.82	0.05824798	0.05865496	
814.02	0.0576502	0.05870473	
814.22	0.05766281	0.05875449	
814.42	0.05776337	0.05880424	
814.62	0.05835803	0.05885398	
814.82	0.05808802	0.0589037	
815.02	0.05816683	0.05895341	
815.22	0.05820701	0.0590031	
815.42	0.05855959	0.05905278	
815.62	0.05908104	0.05910245	
815.82	0.05936115	0.0591521	
816.02	0.05970396	0.05920174	
816.22	0.05982632	0.05925137	
816.42	0.0598123	0.05930098	
816.62	0.06001356	0.05935058	
816.82	0.06030126	0.05940016	
817.02	0.06107188	0.05944973	
817.22	0.06140218	0.05949929	
817.42	0.06082403	0.05954883	
817.62	0.06094935	0.05959836	
817.82	0.06068027	0.05964788	
818.02	0.06074585	0.05969738	
818.22	0.06046301	0.05974687	
818.42	0.05991467	0.05979634	
818.62	0.06028042	0.0598458	
818.82	0.05998123	0.05989525	
819.02	0.06036392	0.05994468	
819.22	0.0603779	0.0599941	
819.42	0.06007948	0.06004351	
819.62	0.05992715	0.0600929	
819.82	0.0597178	0.06014228	
820.02	0.05965387	0.06019165	
820.22	0.05923313	0.060241	
820.42	0.05924603	0.06029034	
820.62	0.05934847	0.06033966	
820.82	0.05935507	0.06038897	
821.02	0.05949007	0.06043827	
821.22	0.05967826	0.06048755	
821.42	0.05971039	0.06053682	
821.62	0.06020348	0.06058608	
821.82	0.06027136	0.06063532	
822.02	0.06042377	0.06068455	
822.22	0.06012618	0.06073377	
822.42	0.06044929	0.06078297	
822.62	0.06085004	0.06083216	
822.82	0.06055166	0.06088133	
823.02	0.06067959	0.06093049	
823.22	0.06073433	0.06097964	
823.42	0.060423	0.06102877	
823.62	0.06044982	0.06107789	
823.82	0.06038819	0.061127	
824.02	0.06068101	0.06117609	
824.22	0.0611727	0.06122517	
824.42	0.06162507	0.06127424	
824.62	0.0617662	0.06132329	
