Conc1	1E-10	
Start1	450.03	
Stop1	2549.82	
Kobs	0.00296991435847791	
Error Kobs	0.000580990947569767	
Koff	0.00304361578885207	
Error Koff	NaN	
Time1	Data1	Fit1	
521.23	0.0111481	0.01024655	
521.43	0.01096941	0.01025772	
521.63	0.01062572	0.01026888	
521.83	0.01076464	0.01028003	
522.03	0.01059117	0.01029118	
522.23	0.01109201	0.01030233	
522.43	0.01147849	0.01031347	
522.63	0.01192611	0.0103246	
522.83	0.01204049	0.01033573	
523.03	0.01283958	0.01034685	
523.23	0.01308958	0.01035797	
523.43	0.01238015	0.01036908	
523.63	0.0120378	0.01038018	
523.83	0.0123976	0.01039128	
524.03	0.01261893	0.01040237	
524.23	0.0128288	0.01041346	
524.43	0.01247625	0.01042454	
524.63	0.01230976	0.01043562	
524.83	0.01219109	0.01044669	
525.03	0.01167232	0.01045775	
525.23	0.01176609	0.01046881	
525.43	0.01165033	0.01047987	
525.63	0.01193797	0.01049091	
525.83	0.01238503	0.01050195	
526.03	0.01217612	0.01051299	
526.23	0.01250739	0.01052402	
526.43	0.01220995	0.01053505	
526.63	0.01210217	0.01054606	
526.83	0.01154959	0.01055708	
527.03	0.01165374	0.01056809	
527.23	0.01094609	0.01057909	
527.43	0.01059791	0.01059008	
527.63	0.01014958	0.01060107	
527.83	0.00986289	0.01061206	
528.03	0.00992479	0.01062304	
528.23	0.00921014	0.01063401	
528.43	0.00847428	0.01064498	
528.63	0.00878955	0.01065594	
528.83	0.00946652	0.0106669	
529.03	0.00945106	0.01067785	
529.23	0.00964031	0.0106888	
529.43	0.01007731	0.01069974	
529.63	0.01033354	0.01071067	
529.83	0.01111286	0.0107216	
530.03	0.01135615	0.01073252	
530.23	0.01117278	0.01074344	
530.43	0.01142069	0.01075435	
530.63	0.01152905	0.01076526	
530.83	0.01163221	0.01077616	
531.03	0.01135132	0.01078705	
531.23	0.01114168	0.01079794	
531.43	0.01101154	0.01080883	
531.63	0.01061504	0.01081971	
531.83	0.01026295	0.01083058	
532.03	0.01017553	0.01084144	
532.23	0.00988955	0.01085231	
532.43	0.01014933	0.01086316	
532.63	0.01027686	0.01087401	
532.83	0.0103685	0.01088486	
533.03	0.0095999	0.0108957	
533.23	0.0094187	0.01090653	
533.43	0.01025301	0.01091736	
533.63	0.01055491	0.01092818	
533.83	0.01098855	0.010939	
534.03	0.01103451	0.01094981	
534.23	0.01092209	0.01096061	
534.43	0.0111757	0.01097141	
534.63	0.01108418	0.01098221	
534.83	0.01083729	0.010993	
535.03	0.01089123	0.01100378	
535.23	0.01163553	0.01101456	
535.43	0.0114529	0.01102533	
535.63	0.01128569	0.0110361	
535.83	0.01130697	0.01104686	
536.03	0.01106183	0.01105762	
536.23	0.01145003	0.01106837	
536.43	0.01121405	0.01107911	
536.63	0.01131679	0.01108985	
536.83	0.01153032	0.01110059	
537.03	0.01114493	0.01111131	
537.23	0.01108314	0.01112204	
537.43	0.01156319	0.01113275	
537.63	0.01105309	0.01114347	
537.83	0.01042752	0.01115417	
538.03	0.01038528	0.01116487	
538.23	0.01022335	0.01117557	
538.43	0.00944435	0.01118626	
538.63	0.00933107	0.01119694	
538.83	0.00942682	0.01120762	
539.03	0.00967585	0.0112183	
539.23	0.00980252	0.01122896	
539.43	0.009782	0.01123963	
539.63	0.01034473	0.01125028	
539.83	0.0109299	0.01126094	
540.03	0.01097607	0.01127158	
540.23	0.01184373	0.01128222	
540.43	0.01206596	0.01129286	
540.63	0.01234431	0.01130349	
