Conc1	2.5E-07	
Start1	450.03	
Stop1	2549.84	
Kobs	0.274215631591234	
Error Kobs	0.00343146478888905	
Koff	0.0033192808875656	
Error Koff	NaN	
Time1	Data1	Fit1	
520.23	0.22766996	0.22383259	
520.43	0.22760866	0.22394962	
520.63	0.22769523	0.22406659	
520.83	0.22779274	0.22418352	
521.03	0.22808507	0.2243004	
521.23	0.22821347	0.22441723	
521.43	0.22829592	0.22453401	
521.63	0.22811049	0.22465075	
521.83	0.22795999	0.22476743	
522.03	0.22776888	0.22488407	
522.23	0.22814613	0.22500065	
522.43	0.22824795	0.22511719	
522.63	0.22787058	0.22523368	
522.83	0.22874673	0.22535012	
523.03	0.22952255	0.22546651	
523.23	0.22978194	0.22558286	
523.43	0.23016189	0.22569915	
523.63	0.22998792	0.2258154	
523.83	0.23001371	0.22593159	
524.03	0.22993889	0.22604774	
524.23	0.22999937	0.22616384	
524.43	0.22954407	0.22627989	
524.63	0.2296781	0.22639589	
524.83	0.22929744	0.22651185	
525.03	0.22948508	0.22662775	
525.23	0.22994582	0.22674361	
525.43	0.22998762	0.22685942	
525.63	0.23019406	0.22697518	
525.83	0.230485	0.22709089	
526.03	0.23081485	0.22720655	
526.23	0.23169568	0.22732217	
526.43	0.23176323	0.22743773	
526.63	0.23243573	0.22755325	
526.83	0.23308678	0.22766872	
527.03	0.23322592	0.22778414	
527.23	0.23316595	0.22789952	
527.43	0.23317611	0.22801484	
527.63	0.23311799	0.22813012	
527.83	0.23268589	0.22824535	
528.03	0.23282332	0.22836053	
528.23	0.23247149	0.22847566	
528.43	0.23238851	0.22859074	
528.63	0.23282869	0.22870578	
528.83	0.23225453	0.22882077	
529.03	0.23218666	0.2289357	
529.23	0.2318159	0.2290506	
529.43	0.23122494	0.22916544	
529.63	0.23141266	0.22928023	
529.83	0.23156238	0.22939498	
530.03	0.23128761	0.22950968	
530.23	0.23120033	0.22962433	
530.43	0.23153399	0.22973893	
530.63	0.23140022	0.22985349	
530.83	0.23143428	0.229968	
531.03	0.23159433	0.23008246	
531.23	0.23180298	0.23019687	
531.43	0.23177335	0.23031123	
531.63	0.23198537	0.23042555	
531.83	0.23212244	0.23053981	
532.03	0.23258904	0.23065403	
532.23	0.23246346	0.23076821	
