Conc1	5E-09	
Start1	689.99	
Stop1	2789.79	
Kobs	0.00380373082482393	
Error Kobs	NaN	
Koff	0.00322384717252245	
Error Koff	NaN	
Time1	Data1	Fit1	
744.19	0.04143857	0.0514856	
744.39	0.04143677	0.05163617	
744.59	0.04232413	0.05178661	
744.79	0.04267898	0.05193695	
744.99	0.04346889	0.05208717	
745.19	0.04405204	0.05223727	
745.39	0.04397765	0.05238726	
745.59	0.04455364	0.05253714	
745.79	0.04496192	0.0526869	
745.99	0.04578753	0.05283655	
746.19	0.04614184	0.05298609	
746.39	0.0464469	0.05313551	
746.59	0.04678972	0.05328481	
746.79	0.04693622	0.05343401	
746.99	0.04691022	0.05358309	
747.19	0.04717465	0.05373206	
747.39	0.04702572	0.05388091	
747.59	0.04665215	0.05402965	
747.79	0.04688138	0.05417828	
747.99	0.0472346	0.05432679	
748.19	0.04734388	0.0544752	
748.39	0.04753678	0.05462348	
748.59	0.04783127	0.05477166	
748.79	0.04785129	0.05491972	
748.99	0.04801133	0.05506768	
749.19	0.04764657	0.05521551	
749.39	0.04753845	0.05536324	
749.59	0.04771893	0.05551085	
749.79	0.04758965	0.05565835	
749.99	0.04805633	0.05580574	
750.19	0.04743142	0.05595302	
750.39	0.04686995	0.05610019	
750.59	0.04697255	0.05624724	
750.79	0.04700691	0.05639418	
750.99	0.04736596	0.05654101	
751.19	0.04719437	0.05668773	
751.39	0.04710573	0.05683433	
751.59	0.04722783	0.05698083	
751.79	0.04757887	0.05712721	
751.99	0.04757029	0.05727348	
752.19	0.04770463	0.05741965	
752.39	0.04779328	0.0575657	
752.59	0.04807502	0.05771163	
752.79	0.04822574	0.05785746	
752.99	0.04820136	0.05800318	
753.19	0.04845752	0.05814878	
753.39	0.04856934	0.05829428	
753.59	0.04868362	0.05843966	
753.79	0.04942535	0.05858494	
753.99	0.04968597	0.0587301	
754.19	0.04953133	0.05887516	
754.39	0.04951116	0.0590201	
754.59	0.04976879	0.05916493	
754.79	0.0497347	0.05930965	
754.99	0.05002736	0.05945427	
755.19	0.04957669	0.05959877	
755.39	0.04972462	0.05974316	
755.59	0.0499066	0.05988744	
755.79	0.04985689	0.06003162	
755.99	0.04990319	0.06017568	
756.19	0.04984595	0.06031964	
756.39	0.04977021	0.06046348	
756.59	0.05025795	0.06060721	
756.79	0.05051553	0.06075084	
756.99	0.050646	0.06089436	
757.19	0.05106898	0.06103776	
757.39	0.05090356	0.06118106	
757.59	0.05155551	0.06132425	
757.79	0.05179797	0.06146733	
757.99	0.05159135	0.0616103	
758.19	0.0516561	0.06175317	
758.39	0.05152434	0.06189592	
758.59	0.05148882	0.06203857	
758.79	0.05126756	0.06218111	
758.99	0.05141014	0.06232353	
759.19	0.05134494	0.06246585	
759.39	0.05166009	0.06260807	
759.59	0.05200474	0.06275017	
759.79	0.05173852	0.06289217	
759.99	0.05172443	0.06303406	
