Conc1	5E-10	
Start1	450.03	
Stop1	2549.84	
Kobs	0.0056065490555217	
Error Kobs	NaN	
Koff	0.00317918890311211	
Error Koff	NaN	
Time1	Data1	Fit1	
513.83	0.03604514	0.03772438	
514.03	0.03631704	0.03777106	
514.23	0.03662303	0.03781768	
514.43	0.03645638	0.03786425	
514.63	0.03653151	0.03791077	
514.83	0.03646795	0.03795724	
515.03	0.03667357	0.03800366	
515.23	0.03637036	0.03805002	
515.43	0.03601389	0.03809633	
515.63	0.03570094	0.03814259	
515.83	0.03550904	0.0381888	
516.03	0.03596322	0.03823496	
516.23	0.03541488	0.03828106	
516.43	0.03535769	0.03832712	
516.63	0.0354636	0.03837312	
516.83	0.03561951	0.03841907	
517.03	0.03521395	0.03846497	
517.23	0.03572272	0.03851081	
517.43	0.03591212	0.03855661	
517.63	0.03601943	0.03860235	
517.83	0.03611199	0.03864805	
518.03	0.03621947	0.03869369	
518.23	0.03592865	0.03873928	
518.43	0.03605787	0.03878482	
518.63	0.03639831	0.03883031	
518.83	0.03664555	0.03887575	
519.03	0.03695249	0.03892113	
519.23	0.03667305	0.03896647	
519.43	0.03665644	0.03901175	
519.63	0.03697515	0.03905699	
519.83	0.03690539	0.03910217	
520.03	0.03715789	0.0391473	
520.23	0.03673084	0.03919239	
520.43	0.03677095	0.03923742	
520.63	0.03661234	0.0392824	
520.83	0.0369741	0.03932733	
521.03	0.03703488	0.03937221	
521.23	0.03708033	0.03941704	
521.43	0.03677123	0.03946182	
521.63	0.03700594	0.03950655	
521.83	0.03717378	0.03955123	
522.03	0.0373711	0.03959586	
522.23	0.03728065	0.03964044	
522.43	0.03765498	0.03968497	
522.63	0.03806806	0.03972945	
522.83	0.03807007	0.03977388	
523.03	0.03761664	0.03981826	
523.23	0.0369568	0.03986259	
523.43	0.03716127	0.03990687	
523.63	0.03701361	0.0399511	
523.83	0.03647821	0.03999528	
524.03	0.03620222	0.04003942	
524.23	0.03605421	0.0400835	
524.43	0.03610556	0.04012753	
524.63	0.03635409	0.04017152	
524.83	0.03655981	0.04021545	
525.03	0.03694436	0.04025934	
525.23	0.03715589	0.04030317	
525.43	0.0372896	0.04034696	
525.63	0.0378579	0.0403907	
525.83	0.03837264	0.04043438	
526.03	0.03866849	0.04047802	
526.23	0.03888058	0.04052162	
526.43	0.03905494	0.04056516	
526.63	0.03927413	0.04060865	
526.83	0.03906961	0.0406521	
527.03	0.0388367	0.04069549	
527.23	0.03876327	0.04073884	
527.43	0.03922533	0.04078214	
527.63	0.03920245	0.04082539	
527.83	0.03936348	0.04086859	
528.03	0.039662	0.04091174	
528.23	0.04008946	0.04095485	
528.43	0.03973273	0.04099791	
528.63	0.03961557	0.04104091	
528.83	0.04021018	0.04108387	
529.03	0.04090458	0.04112679	
529.23	0.04099678	0.04116965	
529.43	0.04101919	0.04121247	
529.63	0.04110338	0.04125523	
529.83	0.04075423	0.04129795	
530.03	0.0403081	0.04134063	
530.23	0.04020951	0.04138325	
530.43	0.03987626	0.04142583	
530.63	0.04001692	0.04146836	
530.83	0.03991057	0.04151084	
531.03	0.04036542	0.04155327	
531.23	0.04028001	0.04159566	
531.43	0.04020719	0.041638	
531.63	0.04023156	0.04168029	
531.83	0.03986368	0.04172253	
532.03	0.03947341	0.04176473	
532.23	0.038858	0.04180688	
532.43	0.0382923	0.04184898	
532.63	0.03852709	0.04189103	
532.83	0.03918765	0.04193304	
533.03	0.0390474	0.041975	
533.23	0.03900043	0.04201691	
533.43	0.03919955	0.04205878	
533.63	0.03899214	0.0421006	
533.83	0.03920978	0.04214237	
534.03	0.03929796	0.0421841	
534.23	0.03960684	0.04222578	
534.43	0.039653	0.04226741	
534.63	0.04033921	0.04230899	
534.83	0.04064801	0.04235053	
535.03	0.04076319	0.04239203	
535.23	0.04061783	0.04243347	
535.43	0.04042339	0.04247487	
535.63	0.04078032	0.04251623	
535.83	0.04041593	0.04255753	
536.03	0.04039051	0.04259879	
536.23	0.040566	0.04264001	
536.43	0.04080847	0.04268118	
536.63	0.04111202	0.0427223	
536.83	0.0414174	0.04276337	
537.03	0.04181212	0.0428044	
537.23	0.04252342	0.04284539	
537.43	0.04307718	0.04288633	
537.63	0.043252	0.04292722	
537.83	0.04337075	0.04296806	
538.03	0.04348093	0.04300886	
538.23	0.04357902	0.04304962	
538.43	0.04349629	0.04309033	
538.63	0.04373631	0.04313099	
538.83	0.04378675	0.04317161	
539.03	0.04357918	0.04321218	
539.23	0.04345984	0.04325271	
539.43	0.04289619	0.04329319	
539.63	0.04291627	0.04333363	
539.83	0.04253692	0.04337402	
540.03	0.04239653	0.04341436	
540.23	0.04246622	0.04345466	
540.43	0.0425276	0.04349492	
540.63	0.04285786	0.04353513	
540.83	0.04296691	0.04357529	
541.03	0.04342032	0.04361541	
541.23	0.04361302	0.04365549	
541.43	0.04350313	0.04369552	
541.63	0.04368174	0.0437355	
541.83	0.04416707	0.04377544	
542.03	0.04477413	0.04381534	
542.23	0.04458617	0.04385519	
542.43	0.04438423	0.043895	
542.63	0.04453304	0.04393476	
542.83	0.04427044	0.04397448	
543.03	0.04400067	0.04401415	
543.23	0.04341231	0.04405378	
543.43	0.04288661	0.04409336	
543.63	0.04299476	0.0441329	
543.83	0.04285507	0.04417239	
544.03	0.04288893	0.04421185	
544.23	0.04287748	0.04425125	
544.43	0.04287591	0.04429061	
544.63	0.04273539	0.04432993	
544.83	0.04259433	0.04436921	
545.03	0.04280903	0.04440844	
545.23	0.04254635	0.04444762	
545.43	0.04294894	0.04448677	
545.63	0.04370148	0.04452586	
545.83	0.04412884	0.04456492	
546.03	0.04428089	0.04460393	
546.23	0.04385172	0.0446429	
546.43	0.0439363	0.04468182	
546.63	0.04435065	0.0447207	
546.83	0.04412892	0.04475954	
547.03	0.04466238	0.04479833	
547.23	0.0443848	0.04483708	
547.43	0.04423585	0.04487579	
547.63	0.04414293	0.04491445	
547.83	0.04404584	0.04495307	
